"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "Log", "JavaScript", "Markdown", "PostCSS", "PowerShell", "Shell Script", "HTML", "Properties", "comment", "blank", "total"
"c:\MiningQwQMusic\tests\integration\music-play-url-route.test.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 181
"c:\MiningQwQMusic\tests\integration\music-playlist-resolve-route.test.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\MiningQwQMusic\tests\unit\account-client.test.ts", "TypeScript", 0, 540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 577
"c:\MiningQwQMusic\tests\unit\cloud-sync.test.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\MiningQwQMusic\tests\unit\desktop-host.test.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 146
"c:\MiningQwQMusic\tests\unit\image-url.test.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\MiningQwQMusic\tests\unit\mock-adapter.test.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\MiningQwQMusic\tests\unit\netease-adapter.test.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 119
"c:\MiningQwQMusic\tests\unit\player-controller-regression.test.tsx", "TypeScript JSX", 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 395
"c:\MiningQwQMusic\tests\unit\player-store.test.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 103
"c:\MiningQwQMusic\tests\unit\player-ui.test.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\MiningQwQMusic\tests\unit\playlist-import.test.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\MiningQwQMusic\tests\unit\shell-chrome.test.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 123
"c:\MiningQwQMusic\tests\unit\user-avatar.test.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\MiningQwQMusic\tests\unit\user-facing-error.test.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\MiningQwQMusic\tsconfig.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 27, 5299, 3976, 155, 194, 508, 2099, 89, 64, 43, 34, 11, 1423, 13922
